"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"152",71,"Best","Rough",268.748274258489,"RBF","UCB",0.341535141644852,1.22,NA,0.655324716170239,0.213930668586003,0.0359413878687272,"RBF-UCB"
"153",72,"Best","Smooth",218.435387653619,"RBF","UCB",0.464807627182191,1.39,NA,0.955392503422966,0.149159539209317,0.0302144097779663,"RBF-UCB"
"154",73,"Best","Smooth",254.498484367236,"RBF","UCB",0.376448801679407,1.14,NA,0.456114059284313,0.164232950509298,0.0327753281448634,"RBF-UCB"
"155",74,"Best","Smooth",217.157541831732,"RBF","UCB",0.467938499633112,1.24,NA,0.724892526087047,0.171054214675044,0.0412198681464237,"RBF-UCB"
"156",75,"Best","Rough",227.687490315003,"RBF","UCB",0.442138888247124,1.04,NA,0.497268134451632,0.0779547541921401,0.0278663667833659,"RBF-UCB"
"157",76,"Best","Smooth",288.214414564169,"RBF","UCB",0.293840810008799,1.09,NA,1.24663593522932,0.199373895782325,0.0722560982241841,"RBF-UCB"
"158",77,"Cumulative","Smooth",154.053759578161,"RBF","UCB",0.62255018284454,1.15,NA,0.855072188737703,0.0375107788958167,0.0377586386014201,"RBF-UCB"
"159",78,"Best","Smooth",374.395100603533,"RBF","UCB",0.0826880002561355,1.33,NA,1.21186951584259,0.248935088356242,0.106081193604085,"RBF-UCB"
"160",79,"Cumulative","Smooth",206.467929328996,"RBF","UCB",0.494129306632362,1.15,NA,0.477025406100434,0.0852730633548416,0.0437215217373722,"RBF-UCB"
"161",80,"Best","Rough",208.607539967265,"RBF","UCB",0.488887009096682,1.06,NA,0.557712627460356,0.0805227505470616,0.0585513454735312,"RBF-UCB"
"162",81,"Best","Smooth",168.1851310645,"RBF","UCB",0.587926661819932,1.3,NA,0.358353712167931,0.121957194156238,0.00673800223181702,"RBF-UCB"
